# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.counter,1713312673133000000,1713312673951000000,0
cacheStateStorage.get.counter,1713312673133000000,1713312673951000000,2
cacheStateStorage.set.duration,1713312673133000000,1713312673951000000,0
cacheStateStorage.get.duration,1713312673133000000,1713312673951000000,0
FlushQueue.waitingTimeAvgNs,1713312673133000000,1713312673951000000,0.0
FlushQueue.executionTime90PNs,1713312673133000000,1713312673951000000,0
FlushQueue.queueSize90P,1713312673133000000,1713312673951000000,0
FlushQueue.waitingTime90PNs,1713312673133000000,1713312673951000000,0
FlushQueue.queueSizeAvg,1713312673133000000,1713312673951000000,0.0
FlushQueue.waitingTimeMaxNs,1713312673133000000,1713312673951000000,0
AWTEventQueue.dispatchTimeMaxNs,1713312673133000000,1713312673951000000,0
AWTEventQueue.eventsDispatched,1713312673133000000,1713312673951000000,0
FlushQueue.executionTimeMaxNs,1713312673133000000,1713312673951000000,0
FlushQueue.tasksExecuted,1713312673133000000,1713312673951000000,0
AWTEventQueue.dispatchTimeAvgNs,1713312673133000000,1713312673951000000,0.0
AWTEventQueue.dispatchTimeTotalNS,1713312673133000000,1713312673951000000,3337208
AWTEventQueue.dispatchTime90PNs,1713312673133000000,1713312673951000000,0
FlushQueue.queueSizeMax,1713312673133000000,1713312673951000000,0
FlushQueue.executionTimeAvgNs,1713312673133000000,1713312673951000000,0.0
FilePageCache.totalPageLoadsUs,1713312673133000000,1713312673951000000,31874
FilePageCache.pageFastCacheHits,1713312673133000000,1713312673951000000,68
StorageLockContext.competingThreads.90P,1713312673133000000,1713312673951000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1713312673133000000,1713312673951000000,0
DirectByteBufferAllocator.hits,1713312673133000000,1713312673951000000,0
FilePageCacheLockFree.totalBytesRead,1713312673133000000,1713312673951000000,0
FilePageCacheLockFree.heapBytesInUse,1713312673133000000,1713312673951000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1713312673133000000,1713312673951000000,0
FilePageCacheLockFree.totalPagesRequested,1713312673133000000,1713312673951000000,0
StorageLockContext.competingThreads.max,1713312673133000000,1713312673951000000,0
FilePageCacheLockFree.totalPagesReadMs,1713312673133000000,1713312673951000000,0
FilePageCache.totalPageDisposalsUs,1713312673133000000,1713312673951000000,15
DirectByteBufferAllocator.disposed,1713312673133000000,1713312673951000000,0
FilePageCache.maxCacheSizeInBytes,1713312673133000000,1713312673951000000,1048576
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1713312673133000000,1713312673951000000,1048576
FilePageCache.pageLoads,1713312673133000000,1713312673951000000,1
FilePageCache.uncachedFileAccess,1713312673133000000,1713312673951000000,3
FilePageCacheLockFree.totalClosedStoragesReclaimed,1713312673133000000,1713312673951000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1713312673133000000,1713312673951000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1713312673133000000,1713312673951000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1713312673133000000,1713312673951000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1713312673133000000,1713312673951000000,0
MappedFileStorage.storages,1713312673133000000,1713312673951000000,4
FilePageCacheLockFree.totalPagesWritten,1713312673133000000,1713312673951000000,0
FilePageCacheLockFree.totalPagesHandedOver,1713312673133000000,1713312673951000000,0
FilePageCache.capacityInBytes,1713312673133000000,1713312673951000000,503316478
DirectByteBufferAllocator.misses,1713312673133000000,1713312673951000000,1
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1713312673133000000,1713312673951000000,0
StorageLockContext.competingThreads.avg,1713312673133000000,1713312673951000000,0.0
FilePageCache.maxRegisteredFiles,1713312673133000000,1713312673951000000,3
FilePageCacheLockFree.totalPagesReclaimed,1713312673133000000,1713312673951000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1713312673133000000,1713312673951000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1713312673133000000,1713312673951000000,0
FilePageCache.pageHits,1713312673133000000,1713312673951000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1713312673133000000,1713312673951000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1713312673133000000,1713312673951000000,0
MappedFileStorage.totalBytesMapped,1713312673133000000,1713312673951000000,0
FilePageCacheLockFree.nativeBytesInUse,1713312673133000000,1713312673951000000,0
DirectByteBufferAllocator.reclaimed,1713312673133000000,1713312673951000000,0
FilePageCacheLockFree.totalPagesAllocated,1713312673133000000,1713312673951000000,0
MappedFileStorage.totalPagesMapped,1713312673133000000,1713312673951000000,0
FilePageCacheLockFree.totalPagesWriteMs,1713312673133000000,1713312673951000000,0
FilePageCacheLockFree.totalBytesWritten,1713312673133000000,1713312673951000000,0
FilePageCache.disposedBuffers,1713312673133000000,1713312673951000000,0
FilePageCacheLockFree.totalBytesRequested,1713312673133000000,1713312673951000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1713312673133000000,1713312673951000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1713312673133000000,1713312673951000000,0
